name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Cancan Coaster,Steel,Sit Down,60,26,922,0,Mack,Europa Park,operating
Candymonium,Steel,Sit Down,122,64,1413,0,B&M,Hersheypark,construction
Cannibal,Steel,Sit Down,113,64,835,4,ART Engineering,Lagoon,operating
Cannon Ball,Wooden,Sit Down,80,21,692,0,Philadelphia Toboggan Coaster,Lake Winnie,operating
Cannonball Run,Steel,Sit Down,69,20,518,0,CCI,Waterville,operating
Canobie Corkscrew,Steel,Sit Down,,22,,2,Arrow,Canobie Lake Park,operating
Canyon Blaster,Steel,Sit Down,26,4,152,0,Miler Coaster,Six Flags Magic Mountain,operating
Canyon Blaster,Steel,Sit Down,66,29,739,4,Arrow,Adventuredome,operating
Canyon Blaster,Steel,Sit Down,72,17,610,0,Arrow,Great Escape,operating
Cape Cobras,na,Inverted,80,33,765,5,Vekoma,Ratanga Junction,operating
Capitale Express,Steel,Sit Down,50,,,0,Mack,Méga Parc,operating
Capitol Bullet Train,Steel,Sit Down,,,570,2,Mack,Motiongate,operating
Captain Jacks Runaway Train,Steel,Sit Down,,,,0,SBF,Pirates Cove Fun Park,operating
Caribbean Splash,Steel,Water Coaster,,,,0,Mack,Formosan Aboriginal Culture Village,operating
Carolina Cyclone,Steel,Sit Down,66,20,640,4,Arrow,Carowinds,operating
Carolina Goldrusher,Hybrid,Sit Down,,,731,0,Arrow,Carowinds,operating
Cascabel 2,Steel,Sit Down,,,,1,Schwarzkopf,La Feria Chapultepec Magico,operating
Casey Jr. Circus Train,Steel,Sit Down,30,,,0,Vekoma,Disneyland Park,operating
Cat & Mouse,na,Sit Down,,,,,Pinfari,Ocean Beach Pleasure Park,closed definitely
Cat-O-Pillar Coaster,na,Sit Down,,6,198,,Zierer,Paultons Park,operating
Catapiller,na,Sit Down,,,,,DAL,Kiddies Fun Fair,operating
Caterpillar Capers,Steel,Sit Down,,,,0,Pinfari,Camelot Theme Park,closed definitely
Caterpillar Express,Steel,Sit Down,24,4,70,0,Zierer,Schwaben Park,operating
Caterpillar,Steel,Sit Down,,,,0,D.P.V. Rides,Lightwater Valley,closed definitely
